CaseID,Activity,Timestamp
1,A,2020-08-08 10:20:00
1,B,2020-08-08 10:50:00
1,D,2020-08-08 12:37:00
1,C,2020-08-08 16:15:00
2,A,2020-08-08 14:37:00
2,E,2020-08-08 15:07:00
2,C,2020-08-08 20:31:00
2,A,2020-08-09 13:30:00
3,B,2020-08-09 13:55:00
3,D,2020-08-09 15:00:00
3,A,2020-08-09 17:00:00
3,C,2020-08-09 20:55:00
4,A,2020-08-09 17:25:00
4,B,2020-08-09 17:40:00
4,C,2020-08-09 23:05:00
5,E,2020-08-09 17:55:00
5,C,2020-08-10 23:55:00
5,A,2020-08-11 17:00:00
6,B,2020-08-11 17:27:00
6,C,2020-08-11 23:45:00
