CaseID,Activity,Timestamp
1000,A,2020-01-11 21:13:00
1000,B,2020-01-11 21:52:00
1000,C,2020-01-11 22:39:00
1000,D,2020-01-11 23:52:00
1000,G,2020-01-12 01:40:00
1001,A,2020-01-17 09:44:00
1001,B,2020-01-17 10:36:00
1001,C,2020-01-17 12:14:00
1001,D,2020-01-17 13:05:00
1001,G,2020-01-17 14:22:00
1002,A,2020-01-11 15:12:00
1002,B,2020-01-11 16:24:00
1002,C,2020-01-11 18:14:00
1002,D,2020-01-11 19:44:00
1002,G,2020-01-11 20:04:00
1003,A,2020-01-10 18:54:00
1003,B,2020-01-10 19:36:00
1003,C,2020-01-10 20:59:00
1003,D,2020-01-10 22:53:00
1003,G,2020-01-10 23:15:00
1004,A,2020-01-09 18:50:00
1004,B,2020-01-09 19:05:00
1004,C,2020-01-09 19:24:00
1004,D,2020-01-09 20:11:00
1004,G,2020-01-09 20:37:00
1005,A,2020-01-12 23:11:00
1005,B,2020-01-13 00:41:00
1005,C,2020-01-13 02:24:00
1005,D,2020-01-13 03:14:00
1005,G,2020-01-13 03:49:00
1006,A,2020-01-03 01:18:00
1006,B,2020-01-03 01:35:00
1006,C,2020-01-03 01:51:00
1006,D,2020-01-03 03:37:00
1006,G,2020-01-03 04:08:00
1007,A,2020-01-28 16:12:00
1007,B,2020-01-28 18:04:00
1007,C,2020-01-28 19:40:00
1007,D,2020-01-28 20:17:00
1007,G,2020-01-28 20:32:00
1008,A,2020-01-13 16:22:00
1008,B,2020-01-13 17:16:00
1008,C,2020-01-13 18:47:00
1008,D,2020-01-13 20:08:00
1008,G,2020-01-13 22:03:00
1009,A,2020-01-30 12:28:00
1009,B,2020-01-30 13:38:00
1009,C,2020-01-30 13:57:00
1009,D,2020-01-30 14:23:00
1009,G,2020-01-30 15:50:00
1010,A,2020-01-02 21:09:00
1010,B,2020-01-02 22:07:00
1010,C,2020-01-02 23:30:00
1010,D,2020-01-03 00:45:00
1010,G,2020-01-03 01:38:00
1011,A,2020-01-04 19:21:00
1011,B,2020-01-04 21:18:00
1011,C,2020-01-04 22:41:00
1011,D,2020-01-04 23:00:00
1011,G,2020-01-04 23:38:00
1012,A,2020-01-08 21:36:00
1012,B,2020-01-08 23:24:00
1012,C,2020-01-09 01:10:00
1012,D,2020-01-09 02:37:00
1012,G,2020-01-09 03:00:00
1013,A,2020-01-08 14:58:00
1013,B,2020-01-08 16:16:00
1013,C,2020-01-08 17:44:00
1013,D,2020-01-08 18:55:00
1013,G,2020-01-08 20:43:00
1014,A,2020-01-30 20:22:00
1014,B,2020-01-30 21:16:00
1014,C,2020-01-30 22:13:00
1014,D,2020-01-30 23:53:00
1014,G,2020-01-31 01:26:00
1015,A,2020-01-01 23:35:00
1015,B,2020-01-02 00:37:00
1015,C,2020-01-02 02:36:00
1015,D,2020-01-02 03:42:00
1015,G,2020-01-02 04:26:00
1016,A,2020-01-12 04:55:00
1016,B,2020-01-12 05:31:00
1016,C,2020-01-12 06:04:00
1016,D,2020-01-12 06:36:00
1016,G,2020-01-12 08:16:00
1017,A,2020-01-14 21:01:00
1017,B,2020-01-14 22:31:00
1017,C,2020-01-14 23:43:00
1017,D,2020-01-15 00:00:00
1017,G,2020-01-15 01:49:00
1018,A,2020-01-17 23:33:00
1018,B,2020-01-18 00:23:00
1018,C,2020-01-18 00:41:00
1018,D,2020-01-18 00:56:00
1018,G,2020-01-18 02:53:00
1019,A,2020-01-06 13:43:00
1019,B,2020-01-06 14:39:00
1019,C,2020-01-06 15:04:00
1019,D,2020-01-06 16:54:00
1019,G,2020-01-06 17:38:00
1020,A,2020-01-05 01:50:00
1020,B,2020-01-05 02:14:00
1020,C,2020-01-05 03:52:00
1020,D,2020-01-05 04:56:00
1020,G,2020-01-05 05:12:00
1021,A,2020-01-12 01:47:00
1021,B,2020-01-12 03:01:00
1021,C,2020-01-12 04:16:00
1021,D,2020-01-12 04:59:00
1021,G,2020-01-12 05:41:00
1022,A,2020-01-06 17:19:00
1022,B,2020-01-06 17:36:00
1022,C,2020-01-06 19:25:00
1022,D,2020-01-06 21:15:00
1022,G,2020-01-06 23:14:00
1023,A,2020-01-02 21:09:00
1023,B,2020-01-02 22:43:00
1023,C,2020-01-03 00:28:00
1023,D,2020-01-03 02:24:00
1023,G,2020-01-03 04:09:00
1024,A,2020-01-17 05:35:00
1024,B,2020-01-17 06:06:00
1024,C,2020-01-17 07:00:00
1024,D,2020-01-17 07:55:00
1024,G,2020-01-17 08:48:00
1025,A,2020-01-16 03:55:00
1025,B,2020-01-16 04:47:00
1025,C,2020-01-16 06:31:00
1025,D,2020-01-16 07:58:00
1025,G,2020-01-16 08:55:00
1026,A,2020-01-23 18:02:00
1026,B,2020-01-23 18:50:00
1026,C,2020-01-23 19:09:00
1026,D,2020-01-23 21:06:00
1026,G,2020-01-23 22:57:00
1027,A,2020-01-06 19:47:00
1027,B,2020-01-06 20:48:00
1027,C,2020-01-06 22:10:00
1027,D,2020-01-06 22:26:00
1027,G,2020-01-07 00:12:00
1028,A,2020-01-08 20:13:00
1028,B,2020-01-08 20:39:00
1028,C,2020-01-08 21:19:00
